Num,linear_x,linear_y,orientation_z,orientation_w,missionType,Points,which_VL53,VL53_right,VL53_left,VL53_x_offset,VL53_y_offset,mission name,
1,0.86,0.14,0.7017,0.7124,F,0,-1,,,,,,-1 nothing
2,1.5153,0.1266,0.5962,0.8028,W,5,1,0.082,0.07,-0.03,0.03,,1 vl53
3,1.363,0.342,0.6069,0.7948,w,0,-1,,,,,,0 switch
4,1.3373,0.3333,0.6945,0.7629,d,0,-1,,,,,,
5,1.4642,0.2224,0.6486,0.7612,s,5,-1,,,,,,
6,1.7144,0.3371,0.5962,0.8028,W,1,1,0.078,0.07,-0.03,0.03,,
7,1.5777,0.4802,0.5932,0.805,w,0,-1,,,,,,
8,1.5974,0.5798,0.5018,0.8648,d,0,-1,,,,,,
9,1.694,0.4499,0.4572,0.8898,s,5,-1,,,,,,
10,1.854,0.6746,0.8563,0.5164,Y,10,0,,,-0.05,,,
11,1.854,0.8505,0.8534,0.5206,u,5,0,,,-0.05,,,
12,1.854,1.049,0.8588,0.5125,Y,0,0,,,-0.05,,,
13,1.862,1.2324,0.8591,0.5121,Y,10,0,,,-0.05,,,
14,1.862,1.4159,0.8567,0.516,Y,0,0,,,-0.05,,,
15,1.854,1.6253,0.8607,0.5097,u,0,0,,,-0.05,,,
16,1.854,1.7743,0.855,0.5187,u,0,0,,,-0.05,,,
17,1.5262,0.3117,0.5984,0.8011,R,0,-1,,,,,,
18,1.5829,0.2794,0.5922,0.8056,B,5,-1,,,,,,
19,1.685,0.396,0.5917,0.8063,f,10,-1,,,,,,
20,0.1045,0.2877,-0.513,0.8583,r,22,0,,,,,,
21,0.205,0.1102,0.2517,0.9678,E,1,0,,,,0.05,,
22,1.3311,0.2129,0.2293,0.9735,C,1,-1,,,,,,
23,1.1602,0.2122,0.243,0.9697,H,1,-1,,,,,,
24,1.1209,0.184,0.2548,0.9669,S,1,-1,,,,,,
25,0.8517,0.365,0.2496,0.9683,@,11,-1,,,,,home,
26,0.8114,0.6765,0.0328,-0.9994,Z,13,-1,,,,,push into triangle area,
27,0.1135,0.1102,0.2517,0.9678,E,1,-1,,,,,new G,
28,0.7171,0.3572,0.2496,0.9683,e,11,-1,,,,,home for new G,
29,0.6974,1.0599,0.2587,0.9659,X,0,-1,,,,,,
101,0.8362,2.8291,-0.9631,-0.2688,F,0,-1,,,,,start purple,-1 nothing
102,1.664,2.68,0.9905,0.137,W,1,0,0.076,0.065,-0.06,-0.06,,1 vl53
103,1.542,2.497,0.9905,0.137,w,0,-1,,,,,,0 switch
104,1.476,2.4273,0.9905,0.137,d,0,-1,,,,,,
105,1.544,2.634,0.954,0.301,s,5,-1,,,,,,
106,1.834,2.4817,0.989,0.1463,W,1,0,0.084,0.073,-0.06,-0.06,,
107,1.689,2.3671,0.9922,0.1239,w,0,-1,,,,,,
108,1.6589,2.304,0.9976,0.0684,d,0,-1,,,,,,
109,1.7881,2.4851,0.994,0.105,s,5,-1,,,,,,
110,1.875,2.355,0.8595,0.5109,P,10,0,,,-0.03,,,
111,1.875,2.155,0.8595,0.5109,u,5,0,,,-0.03,,,
112,1.875,1.982,0.8595,0.5109,P,0,0,,,-0.03,,,
113,1.875,1.8027,0.8595,0.5109,P,10,0,,,-0.03,,,
114,1.875,1.5934,0.8595,0.5109,P,0,0,,,-0.03,,,
115,1.875,1.398,0.8595,0.5109,u,0,0,,,-0.03,,,
116,1.875,1.1915,0.8595,0.5109,u,0,0,,,-0.03,,,
117,1.666,2.5398,0.991,0.1337,R,0,-1,,,,,,
118,1.7307,2.5749,0.9891,0.1466,B,5,0,,,-0.03,-0.03,,
119,1.58,2.73,0.9899,0.1413,f,10,-1,,,,,,
120,0.1543,2.8416,0.5181,-0.8553,r,22,0,,,0.05,,,
121,0.4218,2.8718,0.9709,-0.237,E,1,0,,,,-0.05,,
122,0.832,2.607,0.9693,-0.2458,@,11,-1,,,,,home,
