Num,linear_max_v,linear_acceleration,linear_kp,linear_break_ratio,angular_max_v,angular_acceleration,angular_kp,angular_break_distance,xy_tolerance,theta_tolerance,time_adjustment
2,0.7,0.5,0.75,0.5,1.5,0.7,0.75,,,,
3,0.7,0.5,0.75,0.5,2,1,0.75,,0.05,0.15,0.7
4,0.7,0.5,0.75,0.7,2,1,0.75,,0.03,0.15,0.2
5,0.7,0.5,0.75,0.5,2,1,0.75,,,,0.7
6,0.7,0.5,0.75,0.5,2,1,0.75,,,,
7,0.7,0.5,0.75,0.5,2,1,0.75,,0.05,0.15,0.7
8,0.7,0.5,0.75,0.7,2,1,0.75,,0.03,0.15,0.2
9,0.7,0.5,0.75,0.5,2,1,0.75,,,,0.7
10,0.7,0.5,0.75,0.8,2,1,0.75,,,0.15,10
11,0.7,0.5,0.75,0.8,2,1,0.75,,,0.15,
12,0.7,0.5,0.75,0.8,2,1,0.75,,,0.15,10
13,0.7,0.5,0.75,0.8,2,1,0.75,,,0.15,10
14,0.7,0.5,0.75,0.8,2,1,0.75,,,0.15,10
15,0.7,0.5,0.75,0.8,2,1,0.75,,,0.15,
16,0.7,0.5,0.75,0.8,2,1,0.75,,,0.15,
17,0.7,0.5,0.75,0.5,2,1,0.75,,,,
18,0.7,0.5,0.75,0.8,2,1,0.75,,,,
19,0.7,0.5,0.75,0.5,2,1,0.75,,,,
20,0.7,0.5,0.75,0.5,2,1,0.75,,0.05,0.15,
21,0.7,0.5,0.75,0.5,2,1,0.75,,0.05,0.15,
25,0.7,0.5,0.75,0.5,2,1,0.75,,0.1,3.14,
22,0.7,0.5,0.75,0.5,2,1,0.75,,,,
28,0.7,0.5,0.75,0.5,2,1,0.75,,,3.14,
102,0.5,0.3,1,0.5,2,1,0.75,0.2,,,
103,,,1,0.8,,,,0.2,,,
104,,,1,0.8,,,,0.2,0.035,0.1,
105,,,1,0.8,,,,0.2,,,
106,,,1,0.8,,,,0.2,,,
107,,,1,0.8,,,,0.2,,,
108,,,1,0.8,,,,0.2,0.035,0.1,
109,,,1,0.8,,,,0.2,,,
110,,,0.85,0.6,,,,0.2,0.005,,10
111,,,0.85,0.6,,,,0.2,0.04,,
112,,,0.85,0.6,,,,0.2,0.005,,10
113,,,0.85,0.6,,,,0.2,0.005,,10
114,,,0.85,0.6,,,,0.2,0.005,,10
115,,,0.85,0.6,,,,0.2,0.04,,
116,,,0.85,0.6,,,,0.2,0.04,,
117,,,1,,,,,0.2,,,
118,,,1,0.8,,,,0.2,,0.015,
119,0.4,,1,0.8,,,,0.2,,,1.5
120,,,1,,,,,0.2,0.05,,
121,,,1,0.8,,,,0.2,,,2
122,,,1,,,,,0.2,0.05,3.14,
